id;ad_id;match_cites_parrot;match_common_parrot;mapping_match
64;549336_us;0;1;"10;115;278;308;336;355"
65;549335_us;0;1;"10;115;135;278;308;336"
66;549333_us;0;1;"10;115;135;278;308;336"
67;549332_us;0;1;"10;115;125;271;272;278;298;308;336"
68;549331_us;0;1;"10;134;135;278;308"
69;549283_us;0;1;"8;10;105;115;125;128;135;165;200;271;272;278;298;308;355;381"
70;548902_us;0;1;"10;115;278"
71;548731_us;0;1;"135;150;181"
72;548472_us;0;1;"10;125;181;271;272;278;298;308"
73;548451_us;0;1;"10;125;181;271;272;278;298;308"
74;548450_us;0;1;"10;125;181;271;272;278;298;308"
75;548443_us;0;1;"10;83;125;181;271;272;278;298;308"
76;548393_us;0;1;"5;10;125;128;181;271;272;278;298;308"
77;548354_us;0;1;"8;10;105;125;133;164;271;272;278;298;308"
78;548310_us;0;1;"8;10;105;125;133;164;271;272;278;298;308"
79;548114_us;0;1;"10;115;125;128;270;271;272;278;298;308"
80;548004_us;0;0;
81;547834_us;0;1;"10;125;271;272;278;298;308"
82;547666_us;0;1;"5;10;125;271;272;278;298;308"
83;547480_us;1;1;"10;115;135;181;221;278;315;317;327;329;330;336"
84;547479_us;0;1;"8;10;105;115;125;135;150;155;165;271;278;298;308;329;355;381"
85;547440_us;0;1;"10;125;271;272;278;298;308"
86;547439_us;0;1;"10;125;271;272;278;298;308"
87;547438_us;0;1;"10;125;271;272;278;298;308"
88;547437_us;0;1;"10;125;271;272;278;298;308"
89;547436_us;0;1;"10;125;271;272;278;298;308"
90;547435_us;0;1;"10;125;271;272;278;298;308"
91;547434_us;0;1;"10;125;271;272;278;298;308"
92;547433_us;0;1;"10;125;271;272;278;298;308"
93;547432_us;0;1;"10;125;271;272;278;298;308"
94;547430_us;0;1;"10;125;271;272;278;298;308"
95;547429_us;0;1;"10;125;271;272;278;298;308"
96;547428_us;0;1;"10;125;271;272;278;298;308"
97;547427_us;0;1;"10;125;271;272;278;298;308"
98;547426_us;0;1;"10;125;271;272;278;298;308"
99;547425_us;0;1;"10;125;271;272;278;298;308"
100;547424_us;0;1;"10;125;271;272;278;298;308"
101;547423_us;0;1;"10;125;271;272;278;298;308"
102;547422_us;0;1;"10;125;271;272;278;298;308"
103;547421_us;0;1;"10;125;271;272;278;298;308"
104;547420_us;0;1;"10;125;271;272;278;298;308"
105;547419_us;0;1;"10;125;271;272;278;298;308"
106;547418_us;0;1;"10;125;271;272;278;298;308"
107;547417_us;0;1;"10;125;271;272;278;298;308"
108;547416_us;0;1;"10;125;271;272;278;298;308"
109;547415_us;0;1;"10;125;271;272;278;298;308"
110;547414_us;0;1;"10;125;271;272;278;298;308"
111;547413_us;0;1;"10;125;271;272;278;298;308"
112;547412_us;0;1;"10;125;271;272;278;298;308"
113;547411_us;0;1;"10;125;271;272;278;298;308"
114;547410_us;0;1;"10;125;271;272;278;298;308"
115;547409_us;0;1;"10;125;271;272;278;298;308"
116;547408_us;0;1;"10;125;271;272;278;298;308"
117;547406_us;0;1;"10;125;271;272;278;298;308"
118;547405_us;0;1;"10;125;271;272;278;298;308"
119;547403_us;0;1;"10;125;271;272;278;298;308"
120;547402_us;0;1;"10;125;271;272;278;298;308"
121;547401_us;0;1;"10;125;271;272;278;298;308"
122;547400_us;0;1;"10;125;271;272;278;298;308"
123;547399_us;0;1;"10;125;271;272;278;298;308"
124;547165_us;0;1;"10;83;115;125;128;181;271;272;278;298"
125;547012_us;0;1;"5;83;135;155;311"
126;546964_us;0;1;"10;115;133;135;165;278;381"
127;546955_us;0;1;"135;165;381"
128;546880_us;0;1;"135;165;181;336;381"
129;546806_us;0;1;"10;115;125;133;181;270;271;272;278;298;308;332"
130;546700_us;0;1;"10;133;278;308;355"
131;546699_us;0;1;"133;135;165;381"
132;546698_us;0;1;"133;135"
133;546694_us;0;1;"10;125;133;271;272;278;298;308"
134;545924_us;0;1;"10;83;135;150;278;308;336"
135;545537_us;0;1;"83;165;181;229"
136;545536_us;0;1;"10;125;181;271;272;278;298;308;336"
137;545535_us;0;1;"10;125;181;271;272;278;298;308;336"
138;545526_us;0;1;"10;125;181;271;272;278;298;308;336"
139;545253_us;0;1;"128;171;174"
140;545205_us;0;1;"10;134;165;181;278;308"
141;545204_us;0;1;"8;10;105;115;158;165;181;278;308"
142;545203_us;0;1;"125;270;271;272;298"
143;545202_us;0;1;"175;311;336;355;364"
144;545201_us;0;1;"10;133;135;165;278;308;381"
145;545016_us;0;1;"10;278;355"
146;545007_us;0;1;"10;115;125;271;272;278;298;311"
147;545004_us;0;1;"125;133;270;271;272;298"
148;545002_us;0;1;"10;115;125;271;272;278;298"
149;544780_us;0;1;"10;125;181;271;272;278;298;308;336"
150;544779_us;0;1;"10;125;181;271;272;278;298;308;336"
151;544776_us;0;1;"10;128;135;181;278;308"
152;544741_us;0;1;"125;270;271;272;298"
153;544739_us;0;1;"10;115;125;181;271;272;278;298"
154;544738_us;0;1;"5;125;270;271;272;298"
155;544737_us;0;1;"10;125;271;272;278;298;308"
156;544735_us;0;1;"10;125;271;272;278;298"
157;544734_us;0;1;"125;181;271;272;298;332;341"
158;544733_us;0;1;"10;125;271;272;278;298;308"
159;544732_us;0;1;"10;115;125;181;271;272;278;298"
160;544731_us;0;1;"125;271;272;298"
161;544730_us;0;1;"10;125;271;272;278;298;308;311;336"
162;544724_us;0;1;"125;133;271;272;298"
163;544723_us;0;1;"10;125;128;181;270;271;272;278;298;308"
164;544532_us;0;1;"10;125;181;271;272;278;298;308;336"
165;544531_us;0;1;"10;125;181;271;272;278;298;308;336"
166;544530_us;0;1;"10;125;181;271;272;278;298;308;336"
167;544521_us;0;1;"10;135;278;308"
168;544440_us;0;1;"10;125;131;271;272;278;298;308"
169;544411_us;0;1;"10;125;271;272;278;298;308"
170;544410_us;0;1;"10;115;125;271;272;278;298;332"
171;544408_us;0;1;"10;115;125;271;272;278;298"
172;544407_us;0;1;"10;115;125;271;272;278;298;332"
173;544372_us;0;1;"10;115;125;181;271;278;298;308"
174;544371_us;0;1;"10;125;271;272;278;298"
175;544370_us;0;1;"10;115;125;181;271;278;298"
176;544369_us;0;1;"10;115;125;271;272;278;298"
177;544283_us;0;1;"10;125;271;272;278;298"
178;544250_us;0;1;"131;311;341;355"
179;543989_us;0;1;83
180;543608_us;0;1;"125;135;271;272;298"
181;543482_us;0;1;"10;115;278"
182;543480_us;0;1;200
183;543465_us;0;1;"10;278"
184;543464_us;0;1;"10;115;134;165;278;308"
185;543385_us;0;1;"10;125;271;272;278;298;308"
186;543344_us;0;1;"10;125;128;271;272;278;298;308"
187;543275_us;0;1;"134;165"
188;543200_us;0;1;"135;165;181;381"
189;543196_us;0;1;"10;115;133;175;181;278"
190;543194_us;0;1;"10;70;83;115;181;278"
191;543193_us;0;1;"10;83;131;164;278"
192;543081_us;0;1;"10;125;271;272;278;298;308"
193;542768_us;0;1;"10;125;271;272;278;298;308"
194;542296_us;0;1;"10;125;271;272;278;298;308"
195;542241_us;0;1;"5;355"
196;542225_us;0;1;"5;10;125;133;271;272;278;298;308"
197;542219_us;0;1;"5;10;115;131;278;341"
198;542218_us;0;1;"5;135;165;219;381"
199;542216_us;0;1;"10;278;308;336;341"
200;542205_us;0;1;"5;10;135;165;278;308;381"
201;542155_us;0;1;"10;125;271;272;278;298;308"
202;542071_us;0;1;"10;125;271;272;278;298;308"
203;542070_us;0;1;"10;125;271;272;278;298;308"
204;542059_us;0;1;"10;125;271;272;278;298;308"
205;541932_us;0;1;"10;125;271;272;278;298;308"
206;541825_us;0;1;"10;125;271;272;278;298;308"
207;541824_us;0;1;"10;125;271;272;278;298;308"
208;541823_us;0;1;"10;125;271;272;278;298;308"
209;541822_us;0;1;"83;200"
210;541089_us;0;1;"10;125;271;272;278;298;308"
211;540948_us;0;1;"83;200"
212;540926_us;0;1;"10;125;271;272;278;298"
213;540891_us;0;1;"10;125;271;272;278;298;308"
214;540890_us;0;1;"10;125;271;272;278;298;308"
215;540468_us;0;1;"10;115;125;135;150;165;200;271;272;278;298;308;329;341;381"
216;539037_us;0;1;"10;125;271;272;278;298;308"
217;539036_us;0;1;"10;125;271;272;278;298;308"
218;538038_us;0;1;"15;128;135;136;151;167"
219;538036_us;0;1;"10;134;135;278"
220;538033_us;0;1;"8;77;125;128;135;150;158;165;223;271;272;298"
221;537755_us;0;1;"10;125;271;272;278;298;308"
222;537751_us;0;1;"10;115;181;278;308"
223;537744_us;0;1;"135;155;165;336"
224;537743_us;0;1;"10;135;165;278;308;381"
225;537730_us;0;1;"83;135;165"
226;537700_us;0;1;"10;223;278;308"
227;537699_us;0;1;"10;200;203;278;308"
228;537698_us;0;1;"10;125;270;271;272;278;298;308"
229;537643_us;0;1;"181;336;355"
230;537642_us;0;1;"10;83;133;135;165;175;278;308;332;381"
231;537641_us;0;1;"10;125;271;272;278;298;308"
232;537543_us;0;1;"10;135;165;278;308;341;381"
233;537504_us;0;1;135
234;537484_us;0;1;"10;135;165;181;278;381"
235;537459_us;0;1;"10;135;165;278;381"
236;537454_us;0;1;"10;125;133;164;271;272;278;298;308"
237;537317_us;0;1;"10;115;181;278;336"
238;537316_us;0;1;"135;150"
239;537315_us;0;1;"10;115;125;271;272;278;298"
240;537303_us;0;1;"10;278"
241;537302_us;0;1;"83;355"
242;537301_us;0;1;"133;135;150;181"
243;537300_us;0;1;"165;381"
244;537299_us;0;1;"10;125;271;272;278;298;311;336"
245;537098_us;0;1;"10;115;181;278"
246;537094_us;0;1;"10;278;308;355;374"
247;537091_us;0;1;"181;336;355"
248;537087_us;0;1;"10;125;133;181;271;272;278;298"
249;537083_us;0;1;"10;133;135;165;181;278;381"
250;537082_us;0;1;"10;83;133;135;165;175;278;308;332;381"
251;537080_us;0;1;"10;125;271;272;278;298;308"
252;537036_us;0;1;"10;115;134;278"
253;536831_us;0;1;"10;132;278;308;355"
254;536828_us;0;1;"10;132;278;308;355"
255;536773_us;0;1;"10;115;125;271;272;278;298;308;332"
256;536639_us;0;1;"134;200"
257;536619_us;0;1;"83;135;165;381"
258;536618_us;0;1;"83;135;165"
259;536617_us;0;1;"83;135;165"
260;536589_us;1;1;"10;128;135;149;150;165;278;308;343;382"
261;536135_us;0;1;"133;165;181;272;341"
262;535653_us;0;1;"10;115;125;133;271;272;278;298"
263;535608_us;0;1;"10;125;181;271;272;278;297;298;308"
264;535604_us;0;1;"10;125;181;271;272;278;297;298;308"
265;535573_us;0;1;"10;125;181;271;272;278;297;298;308"
266;535569_us;0;1;"10;125;181;271;272;278;297;298;308"
267;535562_us;0;1;"10;115;125;271;272;278;298;308"
268;535557_us;0;1;"10;125;181;271;272;278;297;298;308"
