id;ad_id;ad_number;date_created;date_updated;client_code;status;status_image_taken;status_vendeur_taken
1;552731_us;552731;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552731_clientCode.html;1;0;0
2;552645_us;552645;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552645_clientCode.html;1;0;0
3;552633_us;552633;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552633_clientCode.html;1;0;0
4;552632_us;552632;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552632_clientCode.html;1;0;0
5;552631_us;552631;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552631_clientCode.html;1;0;0
6;552630_us;552630;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552630_clientCode.html;1;0;0
7;552629_us;552629;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552629_clientCode.html;1;0;0
8;552628_us;552628;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552628_clientCode.html;1;0;0
9;552627_us;552627;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552627_clientCode.html;1;0;0
10;552626_us;552626;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552626_clientCode.html;1;0;0
11;552625_us;552625;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552625_clientCode.html;1;0;0
12;552624_us;552624;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552624_clientCode.html;1;0;0
13;552622_us;552622;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552622_clientCode.html;1;0;0
14;552413_us;552413;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552413_clientCode.html;1;0;0
15;552410_us;552410;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552410_clientCode.html;1;0;0
16;552409_us;552409;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552409_clientCode.html;1;0;0
17;552340_us;552340;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552340_clientCode.html;1;0;0
18;552327_us;552327;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552327_clientCode.html;1;0;0
19;552151_us;552151;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552151_clientCode.html;1;0;0
20;552146_us;552146;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;552146_clientCode.html;1;0;0
21;551897_us;551897;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;551897_clientCode.html;1;0;0
22;551896_us;551896;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;551896_clientCode.html;1;0;0
23;551850_us;551850;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;551850_clientCode.html;1;0;0
24;551840_us;551840;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;551840_clientCode.html;1;0;0
25;551822_us;551822;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;551822_clientCode.html;1;0;0
26;551672_us;551672;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;551672_clientCode.html;1;0;0
27;551160_us;551160;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;551160_clientCode.html;1;0;0
28;551159_us;551159;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;551159_clientCode.html;1;0;0
29;551036_us;551036;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;551036_clientCode.html;1;0;0
30;550784_us;550784;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;550784_clientCode.html;1;0;0
31;550780_us;550780;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;550780_clientCode.html;1;0;0
32;550779_us;550779;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;550779_clientCode.html;1;0;0
33;550774_us;550774;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;550774_clientCode.html;1;0;0
34;550311_us;550311;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;550311_clientCode.html;1;0;0
35;550310_us;550310;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;550310_clientCode.html;1;0;0
36;550308_us;550308;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;550308_clientCode.html;1;0;0
37;550307_us;550307;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;550307_clientCode.html;1;0;0
38;550287_us;550287;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;550287_clientCode.html;1;0;0
39;550278_us;550278;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;550278_clientCode.html;1;0;0
40;549847_us;549847;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;549847_clientCode.html;1;0;0
41;549844_us;549844;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;549844_clientCode.html;1;0;0
42;549859_us;549859;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;549859_clientCode.html;1;0;0
43;549856_us;549856;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;549856_clientCode.html;1;0;0
44;549854_us;549854;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;549854_clientCode.html;1;0;0
45;549853_us;549853;2020-10-24 01:54:29.616720;2020-11-22 13:08:27.740558;549853_clientCode.html;1;0;0
